Loading HierarchicalGraph from /home/tuero/Documents/cmput-658/a3/PRAStar/scenarios/wc3maps512/bloodvenomfalls.hierarchical_graph.nop
Solution from (413,232), to (397,204). Optimal cost: 34.6274, Found cost: 37.799, Expanded: 610, Generated: 1690, Total duration: 0.00105621, First move duration: 6.1777e-05
Solution from (338,372), to (356,398). Optimal cost: 33.4558, Found cost: 35.799, Expanded: 602, Generated: 1731, Total duration: 0.00106817, First move duration: 6.8453e-05
Solution from (227,424), to (239,454). Optimal cost: 34.9706, Found cost: 40.3848, Expanded: 693, Generated: 1948, Total duration: 0.00124907, First move duration: 6.9945e-05
Solution from (203,146), to (236,161). Optimal cost: 39.2132, Found cost: 44.9706, Expanded: 824, Generated: 2052, Total duration: 0.00134941, First move duration: 7.0247e-05
Solution from (245,387), to (274,410). Optimal cost: 38.5269, Found cost: 42.0416, Expanded: 716, Generated: 2156, Total duration: 0.00132312, First move duration: 7.0613e-05
Solution from (156,170), to (162,204). Optimal cost: 36.4853, Found cost: 36.4853, Expanded: 685, Generated: 2151, Total duration: 0.00128099, First move duration: 7.6752e-05
Solution from (281,277), to (258,248). Optimal cost: 39.1127, Found cost: 43.2132, Expanded: 816, Generated: 2107, Total duration: 0.00126721, First move duration: 6.8868e-05
Solution from (277,140), to (242,147). Optimal cost: 37.8995, Found cost: 38.7279, Expanded: 704, Generated: 2066, Total duration: 0.00124551, First move duration: 7.2475e-05
Solution from (339,412), to (374,417). Optimal cost: 37.0711, Found cost: 37.8995, Expanded: 678, Generated: 2029, Total duration: 0.00121491, First move duration: 6.4676e-05
Solution from (223,338), to (240,308). Optimal cost: 37.0416, Found cost: 43.6274, Expanded: 729, Generated: 2048, Total duration: 0.00130478, First move duration: 6.3365e-05
Solution from (182,103), to (149,116). Optimal cost: 38.3848, Found cost: 44.3848, Expanded: 806, Generated: 2273, Total duration: 0.00146596, First move duration: 6.5208e-05
Solution from (324,435), to (316,401). Optimal cost: 37.3137, Found cost: 37.3137, Expanded: 698, Generated: 2039, Total duration: 0.00119395, First move duration: 6.4962e-05
Solution from (161,329), to (146,361). Optimal cost: 38.2132, Found cost: 41.8701, Expanded: 687, Generated: 1800, Total duration: 0.00111343, First move duration: 4.9075e-05
Solution from (263,142), to (303,140). Optimal cost: 40.8284, Found cost: 48.0416, Expanded: 875, Generated: 2681, Total duration: 0.00155625, First move duration: 7.3016e-05
Solution from (183,276), to (145,267). Optimal cost: 41.7279, Found cost: 41.7279, Expanded: 858, Generated: 2446, Total duration: 0.00144949, First move duration: 6.3258e-05
Solution from (241,355), to (212,332). Optimal cost: 40.5269, Found cost: 44.6274, Expanded: 826, Generated: 2500, Total duration: 0.0015172, First move duration: 7.0285e-05
Solution from (266,350), to (231,329). Optimal cost: 43.6985, Found cost: 46.6274, Expanded: 824, Generated: 2346, Total duration: 0.00150915, First move duration: 6.8639e-05
Solution from (452,440), to (422,410). Optimal cost: 42.4264, Found cost: 51.6985, Expanded: 968, Generated: 2628, Total duration: 0.00155711, First move duration: 7.8145e-05
Solution from (75,233), to (84,272). Optimal cost: 42.7279, Found cost: 47.5563, Expanded: 943, Generated: 2440, Total duration: 0.0015519, First move duration: 7.3751e-05
Solution from (353,327), to (314,331). Optimal cost: 40.6569, Found cost: 41.4853, Expanded: 768, Generated: 2226, Total duration: 0.00139724, First move duration: 6.8519e-05
Solution from (78,257), to (102,289). Optimal cost: 41.9411, Found cost: 45.1127, Expanded: 783, Generated: 2320, Total duration: 0.00135722, First move duration: 7.3476e-05
Solution from (257,447), to (268,408). Optimal cost: 43.5563, Found cost: 46.0416, Expanded: 791, Generated: 2251, Total duration: 0.00140669, First move duration: 6.3156e-05
Solution from (276,318), to (292,282). Optimal cost: 42.6274, Found cost: 51.2132, Expanded: 985, Generated: 2393, Total duration: 0.00151938, First move duration: 5.7403e-05
Solution from (388,363), to (397,319). Optimal cost: 47.7279, Found cost: 57.0416, Expanded: 1077, Generated: 3061, Total duration: 0.00178903, First move duration: 7.2061e-05
Solution from (249,216), to (287,196). Optimal cost: 47.1127, Found cost: 57.6985, Expanded: 1058, Generated: 2561, Total duration: 0.00166465, First move duration: 7.5841e-05
Solution from (271,365), to (268,409). Optimal cost: 45.2426, Found cost: 55.2843, Expanded: 1063, Generated: 3116, Total duration: 0.00180179, First move duration: 6.7893e-05
